index,Player,RECEIVING REC,RECEIVING YDS,RECEIVING TDS,MISC FL,MISC FPTS,Position,PASSING ATT,PASSING CMP,PASSING YDS,PASSING TDS,PASSING INTS,RUSHING ATT,RUSHING YDS,RUSHING TDS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS,FG,FGA,XPT
91,Derek Watt,0.3,2.5,0.0,0.0,1.1,rb,,,,,,1.2,4.3,0.0,,,,,,,,,1.1,,,
92,Darrell Henderson,0.1,1.9,0.0,0.0,1.0,rb,,,,,,1.7,6.5,0.0,,,,,,,,,1.0,,,
93,Zach Line,0.4,2.0,0.0,0.0,1.0,rb,,,,,,0.8,2.7,0.0,,,,,,,,,1.0,,,
94,Anthony Sherman,0.5,3.5,0.0,0.0,1.0,rb,,,,,,0.5,1.5,0.0,,,,,,,,,1.0,,,
95,Samaje Perine,0.3,2.2,0.0,0.0,0.9,rb,,,,,,1.2,4.3,0.0,,,,,,,,,0.9,,,
96,Mike Boone,0.1,1.1,0.0,0.0,0.9,rb,,,,,,1.5,5.4,0.0,,,,,,,,,0.9,,,
97,Jordan Scarlett,0.1,1.1,0.0,0.0,0.8,rb,,,,,,1.3,5.0,0.0,,,,,,,,,0.8,,,
98,Bilal Powell,0.3,2.2,0.0,0.0,0.7,rb,,,,,,0.6,2.2,0.0,,,,,,,,,0.7,,,
99,Nick Bawden,0.3,1.9,0.0,0.0,0.7,rb,,,,,,0.6,2.2,0.0,,,,,,,,,0.7,,,
100,Patrick Ricard,0.3,1.2,0.0,0.0,0.7,rb,,,,,,0.1,0.3,0.0,,,,,,,,,0.7,,,
101,Elijhaa Penny,0.1,1.4,0.0,0.0,0.6,rb,,,,,,1.1,3.7,0.0,,,,,,,,,0.6,,,
102,Buddy Howell,0.1,1.0,0.0,0.0,0.6,rb,,,,,,0.8,3.8,0.0,,,,,,,,,0.6,,,
103,Tyler Ervin,0.1,2.5,0.0,0.0,0.6,rb,,,,,,0.9,2.7,0.0,,,,,,,,,0.6,,,
104,Dan Vitale,0.3,2.0,0.0,0.0,0.6,rb,,,,,,0.5,1.4,0.0,,,,,,,,,0.6,,,
105,Trenton Cannon,0.2,2.1,0.0,0.0,0.6,rb,,,,,,0.7,2.1,0.0,,,,,,,,,0.6,,,
106,Dwayne Washington,0.1,0.8,0.0,0.0,0.6,rb,,,,,,1.6,4.3,0.0,,,,,,,,,0.6,,,
107,D.J. Foster,0.2,1.4,0.0,0.0,0.6,rb,,,,,,0.7,2.3,0.0,,,,,,,,,0.6,,,
108,Troymaine Pope,0.1,1.3,0.0,0.0,0.5,rb,,,,,,0.8,2.7,0.0,,,,,,,,,0.5,,,
109,Kenjon Barner,0.0,1.2,0.0,0.0,0.5,rb,,,,,,1.3,4.0,0.0,,,,,,,,,0.5,,,
110,Alec Ingold,0.1,0.8,0.0,0.0,0.4,rb,,,,,,0.9,2.9,0.0,,,,,,,,,0.4,,,
111,Taiwan Jones,0.1,0.9,0.0,0.0,0.4,rb,,,,,,0.5,2.4,0.0,,,,,,,,,0.4,,,
112,Shaun Wilson,0.1,0.8,0.0,0.0,0.4,rb,,,,,,0.3,1.2,0.0,,,,,,,,,0.4,,,
113,Keith Smith,0.1,0.8,0.0,0.0,0.3,rb,,,,,,0.6,2.0,0.0,,,,,,,,,0.3,,,
114,Nick Bellore,0.1,0.9,0.0,0.0,0.3,rb,,,,,,0.2,0.8,0.0,,,,,,,,,0.3,,,
115,Patrick Laird,0.1,1.0,0.0,0.0,0.3,rb,,,,,,0.3,1.0,0.0,,,,,,,,,0.3,,,
116,Cullen Gillaspia,0.1,1.0,0.0,0.0,0.3,rb,,,,,,0.3,1.0,0.0,,,,,,,,,0.3,,,
117,Chandler Cox,0.1,1.0,0.0,0.0,0.3,rb,,,,,,0.3,1.0,0.0,,,,,,,,,0.3,,,
118,Damarea Crockett,0.0,1.7,0.0,0.0,0.0,rb,,,,,,1.4,4.1,0.0,,,,,,,,,0.0,,,
119,Trayveon Williams,0.0,1.9,0.0,0.0,0.0,rb,,,,,,1.6,4.5,0.0,,,,,,,,,0.0,,,
0,Keenan Allen,7.7,95.7,0.6,0.1,21.2,wr,,,,,,0.3,2.0,0.0,,,,,,,,,21.2,,,
1,DeAndre Hopkins,7.1,92.9,0.7,0.1,20.6,wr,,,,,,0.0,0.0,0.0,,,,,,,,,20.6,,,
2,Odell Beckham Jr.,6.8,92.6,0.7,0.1,20.3,wr,,,,,,0.2,1.4,0.0,,,,,,,,,20.3,,,
3,Amari Cooper,6.3,85.7,0.8,0.1,19.5,wr,,,,,,0.3,1.9,0.0,,,,,,,,,19.5,,,
4,Julio Jones,6.6,94.4,0.6,0.1,19.5,wr,,,,,,0.1,0.6,0.0,,,,,,,,,19.5,,,
5,Davante Adams,6.6,83.2,0.7,0.1,18.9,wr,,,,,,0.0,0.0,0.0,,,,,,,,,18.9,,,
6,Michael Thomas,7.8,78.7,0.5,0.1,18.6,wr,,,,,,0.0,0.0,0.0,,,,,,,,,18.6,,,
